uid_org,name_org,description,org_type,website,year_founded,facebook,twitter
asociacion-centro-ciudadano-de-estudios-para-una-sociedad-abierta-accesa,Asociación Centro Ciudadano De Estudios Para Una Sociedad Abierta -Accesa,,Organización civil sin fines de lucro (ONG),www.accesa.org (actualmente fuera de línea debido a un ataque informático),2014,,
el-intercambio,El Intercambio,,,,,,
politize,Politize,,Organización civil sin fines de lucro (ONG),www.politize.com.br,2015,,
centro-de-midias-civicas-do-mit-media-lab,Centro De Mídias Cívicas Do Mit Media Lab,,Universidad/Instituto de investigación,civic.mit.edu,2007,,
sumando-esfuerzos,Sumando Esfuerzos,,,,,,
instituto-midia-etnica,Instituto Mídia Étnica,,Organización civil sin fines de lucro (ONG),www.midiaetnica.org / www.correionago.com.br,2005,,
red-consejo-ciudadano-a-la-contraloria-a-c,Red Consejo Ciudadano A La Contraloria A.C.,,Organización civil sin fines de lucro (ONG),www.redccpuebla.org.mx,2015,,
democracia-en-red,Democracia En Red,,Organización civil sin fines de lucro (ONG),democraciaenred.org,2013,,
okfn-el-salvador,Okfn El Salvador,,Organización civil sin fines de lucro (ONG),,,,
tu-voto-cuenta,Tu Voto Cuenta,Es una plataforma digital gratuita y abierta desarrollada de manera independiente por un grupo de Mexicanos de diversos perfiles con la intención de servir de apoyo para proteger la integridad del voto en este y cualquier proceso electoral,,https://www.tuvotocuenta.com.mx/,,,
contexto,Contexto,,Organización civil sin fines de lucro (ONG),www.contexto.cr,2016,,
las-de-sistemas,Las de Sistemas,"Comunidad feminista de mujeres, lesbianas, trans y personas no binarias que trabajan en sistemas con la finalidad de visibilizarnos, potenciarnos y contenernos para transformar nuestros espacios de trabajo en lugares inclusivos",,https://medium.com/lasdesistemas,,https://www.facebook.com/lasdesistemas,https://twitter.com/lasdesistemas?lang=es
cooperativa-girasol-de-cosumo-solidario,Cooperativa Girasol De Cosumo Solidário,,Otro,coopgirasol.com.br,2006,,
la-data-cuenta,La Data Cuenta,"Es un sitio para compartir conocimientos, herramientas y consejos con todos los interesados en el periodismo de datos y la visualización.",,http://hasselfallas.com/,2013,https://www.facebook.com/periodismoydatos,https://twitter.com/HasselFallas
fundacion-buena-nota,Fundación Buena Nota,,Organización civil sin fines de lucro (ONG),www.buenanota.org,2007,,
jo-venes-contra-la-violencia,Jóvenes Contra la Violencia,,,www.jovenescontralaviolencia.org,2009,,
agencia-ecologista-de-informacion-tegantai,Agencia Ecologista De Información Tegantai,,Organización civil sin fines de lucro (ONG),http://agenciaecologista.info,2006,,
artigo-19-brasil,Artigo 19 Brasil,,Organización civil sin fines de lucro (ONG),artigo19.org,2007,,
cleteci-s-a,Cleteci S.A,,Empresa privada (startup),www.cleteci.com,2012,,
vetor-brasil,Vetor Brasil,,Organización civil sin fines de lucro (ONG),www.vetorbrasil.org,2015,,
project-poder,PODER,Pretende fomentar la transparencia y rendición de cuentas de las empresas en América Latina desde la perspectiva de derechos humanos y fortalecer a los actores de la sociedad civil afectados por prácticas empresariales para que actúen como garantes de la rendición de cuentas a largo plazo.,Otro,http://projectpoder.org/es/,2008,,
colab,Colab,,,,,,
fundacion-centro-latinoamericano-de-derechos-humanos,Fundación Centro Latinoamericano de Derechos Humanos,,Organización civil sin fines de lucro (ONG),www.cladh.org,2009,,
abrepuertorico,Abrepuertorico,,Otro,,,,
poder-ciudadano,Poder Ciudadano,,Organización civil sin fines de lucro (ONG),,,,
la-publica,La pública,Proyecto en Bolivia que busca fortalecer la participación ciudadana en redes sociales y fuera de ellas articulando el periodismo digital y el activismo.,,https://lapublica.org.bo/,2014,https://www.facebook.com/pg/LaPublicaBolivia/about/?ref=page_internal,
accesa,Accesa,"Es una plataforma que crea proyectos creativos e innovadores que promuevan la transparencia, la rendición de cuentas y el acceso a la información de interés público y la participación ciudadana.",,http://accesa.org/proyectos/,,https://www.facebook.com/ACCESA.ORG/,https://twitter.com/accesaorg?lang=es
chicas-poderosas,Chicas Poderosas,,Otro,,,,
central-america-software-services,Central America Software Services,,Empresa privada (no incluye startup),http://www.ca2s.com/,2006,,
colombia-check,Colombia Check,"Es un proyecto adjunto a Consejo de Redacción que reúne a más de 100 periodistas asociados en Colombia para promover el periodismo de investigación. El proyecto es una plataforma digital, abierta y colaborativa en la cual se publican artículos basados en la técnica de comprobación de hechos y datos.",,,2016,,
instituto-del-desarrollo-de-la-juventud,Instituto Del Desarrollo De La Juventud,,Organización civil sin fines de lucro (ONG),www.juventudpr.org,2013,,
observatorio-de-comunicacion-pucv,Observatorio De Comunicación Pucv,,Universidad/Instituto de investigación,www.observatoriodecomunicacion.cl,2014,,
tribunal-permanente-de-los-pueblos,Tribunal Permanente De Los Pueblos,,Otro,,,,
areta-valente-guimarães-mei,Areta Valente Guimarães Mei,,Otro,,2014,,
centro-para-programas-de-comunicacion-nicaragua-cpcnic,Centro Para Programas De Comunicación Nicaragua (Cpcnic),,Organización civil sin fines de lucro (ONG),,2004,,
instituto-são-paulo-sustentavel,Instituto São Paulo Sustentável,,Organización civil sin fines de lucro (ONG),www.nossasaopaulo.org.br,2007,,
impacto-norte-srl,Impacto Norte Srl,,Empresa privada (no incluye startup),,2010,,
comunideas-sas,Comunideas Sas,,Empresa privada (no incluye startup),http://comunideas.com/colombia/,2016,,
fundacion-karisma,Fundación Karisma,Apoyan y difunden el buen uso de las tecnologías en la sociedad y en torno a las políticas públicas colombianas y de la región.,Organización civil sin fines de lucro (ONG),https://karisma.org.co/,2003,https://www.facebook.com/fundacionkarismaa/,https://twitter.com/Karisma
gobierno-de-colombia,Gobierno De Colombia,,Gobierno,,,,
consejo-civico-de-vecinos,Consejo Civico De Vecinos,,Organización civil sin fines de lucro (ONG),,2006,,
mindball-ong-planeta,Mindball Ong Planeta,,Organización civil sin fines de lucro (ONG),https://www.facebook.com/groups/GROUPONWORLDOFMINDBALL/?fref=ts,1984,,
instituto-ecoar-para-a-cidadania,Instituto Ecoar Para A Cidadania,,Organización civil sin fines de lucro (ONG),www.ecoar.org.br,1992,,
la-publica-ministerios-de-planificacion,"La Publica,Ministerios De Planificacion",,Gobierno,,,,
voter-desenvolvimento-de-software-ltda,Voter Desenvolvimento De Software Ltda,,Empresa privada (startup),www.soseleitor.com.br,2016,,
fundacion-capital-los-empleados-mencionados-hacen-referencia-a-toda-la-organizacion-regional-que-esta-conformada-por-varias-sucursales-una-de-ellas-es-mexico-y-es-en-mexico-donde-estamos-proponiendo-realizar-mopa-por-el-momento,"Fundación Capital - Los Empleados Mencionados Hacen Referencia A Toda La Organización Regional Que Esta Conformada Por Varias Sucursales. Una De Ellas Es México, Y Es En México Donde Estamos Proponiendo Realizar Mopa Por El Momento.",,Organización internacional,http://fundacioncapital.org/en/,2015,,
associated-whistleblowing-press,Associated Whistleblowing Press,,Organización civil sin fines de lucro (ONG),HTTPS://AWP.IS,2013,,
r3d-mexico,R3D: Red en Defensa de los Derechos Digitales,Es una organización mexicana que se dedica a la defensa de los derechos digitales utilizando herramientas de comunicación para la incidencia.,,https://r3d.mx/,2014,https://www.facebook.com/pg/R3DMX/about/?ref=page_internal,https://twitter.com/R3Dmx?lang=es
nucleo-de-estudos-em-inteligencia-gestão-e-tecnologias-para-inovacão-igti,"Núcleo De Estudos Em Inteligência, Gestão E Tecnologias Para Inovação (Igti)",,Universidad/Instituto de investigación,,,,
update,Update,,,www.updatepolitics.cc,2015,,
agencia-metropolitana-de-seguridad-laboratorio-de-politicas-publicas,"Agencia Metropolitana De Seguridad, Laboratorio De Políticas Públicas",,Gobierno,www.ams.gob.mx,2017,,
universidade-federal-de-santa-catarina-ufsc-centro-tecnologico-ctc-departamento-de-engenharia-e-gestão-do-conhecimento-degc-nucleo-de-estudos-em-inteligencia-gestão-e-tecnologias-para-inovacão-igti,"Universidade Federal de Santa Catarina (UFSC); Centro Tecnológico (CTC); Departamento de Engenharia e Gestão do Conhecimento (dEGC); Núcleo de Estudos em Inteligência, Gestão e Tecnologias para Inovação (IGTI)",,,igti.ufsc.br,1997,,
rede-de-observatorio-social-do-brasil,Rede De Observatorio Social Do Brasil,,Organización civil sin fines de lucro (ONG),www.osbrasil.org.br,2009,,
revista-vacio,Revista Vacío,"Es una revista digital independiente, entre sus contenidos sobre política, cultura, genero y metageek, tiene una sección de ciencia y tecnología.",,http://revistavacio.com/,2015,https://www.facebook.com/pg/revistavacio/about/?ref=page_internal,
wheels,Wheels,,,www.wheels.social,2014,,
mismatica-management-sistemas-de-gestion-mismatica-chile-limitada,Mismatica Management (Sistemas De Gestión Mismatica Chile Limitada),,Empresa privada (no incluye startup),www.mismatica.com,2002,,
servicios-universitarios-y-redes-de-conocimiento-en-oaxaca-a-c,Servicios Universitarios Y Redes De Conocimiento En Oaxaca A C,,Organización civil sin fines de lucro (ONG),www.surcooaxaca.org,2011,,
olmeca-soy,Olmeca Soy,,Organización civil sin fines de lucro (ONG),https://www.olmecasoy.org/ y www.expertosociales.org,2012,,
responsible-business-alliance-rba,Responsible Business Alliance (Rba),,Empresa privada (no incluye startup),http://www.grupo-rba.com/,2008,,
fundacion-corona,Fundación Corona,"Busca contribuir al fortalecimiento de las capacidades para impulsar el desarrollo social, la calidad de vida y la equidad en Colombia.",Organización civil sin fines de lucro (ONG),http://www.fundacioncorona.org.co/,1971,,
civica-digital,Cívica Digital civica-digital-mexico-sapi-de-cv,,Empresa privada (startup),https://civica.digital/,2015,,
codeni,Codeni,,Organización civil sin fines de lucro (ONG),,,,
akredito,Akredito,,Empresa privada (startup),,2017,,
techo,Techo,,Organización civil sin fines de lucro (ONG),www.techo.org/Argentina,2003,,
accion-ciudadana,Acción Ciudadana,,Organización civil sin fines de lucro (ONG),https://accionciudadana.org.gt/,1996,,
lab-media,Lab Media,Es una organización sin ánimo de lucro para el fomento y fortalecimiento del emprendimiento periodístico en internet en latinoamérica.,,http://labmedia.org/,,,
resabis-prevencion-salud-y-bienestar-social,"""\""PRESABIS\"" Prevención, Salud y Bienestar Social""",,,,2011,,
asociacion-civil-ernesto-shneider-troller,Asociación Civil Ernesto Shneider Troller,,Organización civil sin fines de lucro (ONG),,2010,,
grupo-cidic,Grupo Cidic,,Universidad/Instituto de investigación,,,,
openstreetmap-nicaragua,Openstreetmap Nicaragua,,Otro,,,,
world-resources-institute-mexico,World Resources Institute México,,Organización internacional,www.wrimexico.org,2006,,
fundacion-ensena-por-argentina,Fundación Enseñá Por Argentina,,Organización civil sin fines de lucro (ONG),www.ensenaporargentina.org,2008,,
fundacion-ecomunidad,Fundación Ecomunidad,,Organización civil sin fines de lucro (ONG),www.ecomunidad.co,2013,,
beetec-inteligencia-colectiva,Beetec Inteligencia Colectiva,,Organización civil sin fines de lucro (ONG),http://www.kibernum.com/noticias/tag/beetec/,2014,,
corporacion-somos-mas,Corporación Somos Más,,Organización civil sin fines de lucro (ONG),www.somosmas.org,2003,,
transformacion-de-obreros-y-tecnicos-esperanza-de-mexico-totem-a-c,Transformación De Obreros Y Técnicos Esperanza De México Totem A.C,,Organización civil sin fines de lucro (ONG),http://organizaciontotemacoax.mex.tl/frameset.php?url=/,2014,,
jmm-tech,Jmm Tech,,Empresa privada (startup),www.jmmtech.com.br,2015,,
brujula-turistica,Brújula Turística,,Empresa privada (startup),www.brujulaturistica.com,2014,,
factus-s-a,"Factus,S.A.",,Empresa privada (no incluye startup),www.factus.net,2000,,
el-espectador,El espectador,"El Espectador es un periódico colombiano de circulación nacional, cuya sede principal se encuentra en Bogotá. ",,https://www.elespectador.com/noticias/,1887,https://www.facebook.com/elespectadorcom/,https://twitter.com/elespectador?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
iniciativa-ministerio-de-economia-de-peru-ministerio-de-economia,"Iniciativa,Ministerio De Economia De Peru,Ministerio  De Economia",,Gobierno,,,,
universidade-federal-de-santa-catarina,Universidade Federal De Santa Catarina,,Universidad/Instituto de investigación,,,,
red-argentina-para-la-cooperacio-n-internacional-raci,Red Argentina Para La Cooperacio´N Internacional (Raci),,Organización civil sin fines de lucro (ONG),www.raci.org.ar,2007,,
openstreetmap,Openstreetmap,,Otro,,,,
core-systems,Core Systems,,Empresa privada (no incluye startup),http://coresystems.io,2010,,
unicef,Unicef,,Organización internacional,,,,
seamos,Seamos,Plataforma digital que busca incidir en las decisiones políticas de la ciudad de Bogotá.,,http://seamos.co/,,https://www.facebook.com/seamoscolombia/,https://twitter.com/seamos
mapa-de-medios-ifai,"Mapa De Medios,Ifai",,Gobierno,,,,
ojo-publico,Ojopúblico,"Es un medio digital de periodismo de investigación que busca ofrecer nuevas narrativas sobre historias relevantes, noticias coyunturales y herramientas de información innovadoras.",Organización civil sin fines de lucro (ONG),https://ojo-publico.com/,2014,https://www.facebook.com/OjoPublico/,https://twitter.com/search?q=ojo%20publico&src=typd&lang=es
fundacion-mi-sangre,Fundación Mi Sangre,,Organización civil sin fines de lucro (ONG),http://fundacionmisangre.org/,2006,,
war-contenidos,War Contenidos,,Empresa privada (no incluye startup),http://warcontenidos.com/,2014,,
fundacion-juventud-emprendedora,Fundación Juventud Emprendedora,,Organización civil sin fines de lucro (ONG),www.fjechile.org y www.empresascolaborativas.cl,2001,,
v-smart-s-a,V-Smart S.A.,,Empresa privada (no incluye startup),www.v-smart.com.ar,2006,,
fundacion-civico-social-pro-cartagena-funcicar,Fundación Cívico Social Pro Cartagena - Funcicar,,Organización civil sin fines de lucro (ONG),www.funcicar.org,1993,,
lojasoft-solutions,Lojasoft Solutions,,Empresa privada (startup),www.lojasoftsolutions.com.ec,2012,,
kodevian-enterprise-software-solutions,Kodevian Enterprise Software Solutions,,Empresa privada (no incluye startup),http://kodevianstudio.com,2012,,
programa-cidades-sustentaeis,Programa Cidades Sustentaeis,,,,,,
colaboratorio-de-desenvolvimento-e-participacão-universidade-de-são-paulo,"Colaboratório De Desenvolvimento E Participação, Universidade De São Paulo",,Gobierno,www.colab.each.usp.br,2014,,
observatorio-social-de-são-jose-ossj,Observatório Social De São José (Ossj),,Organización civil sin fines de lucro (ONG),www.ossj.org.br,2011,,
ojo-con-mi-pisto,Ojo con mi Pisto,"Es un proyecto periodístico que fiscaliza el uso de fondos municipales, capacita reporteros departamentales y promueve la participación ciudadana. ",,http://www.ojoconmipisto.com/open-contracting/,,https://www.facebook.com/ojoconmipisto/,https://twitter.com/_ojoconmipisto?lang=es
corporacion-prodepaz,Corporación Prodepaz,,Organización civil sin fines de lucro (ONG),programadesarrolloparalapaz.org,1999,,
softai,Softai,,Empresa privada (startup),http://www.softai.com.ar/,2016,,
data-uruguay,Data Uruguay,,Organización civil sin fines de lucro (ONG),http://datauy.org,2012,,
oeste-mx,Oeste.Mx,,Otro,,,,
instituto-educadigital,Instituto Educadigital,,Organización civil sin fines de lucro (ONG),www.educadigital.org.br,2011,,
corporacion-red-somos,Corporación Red Somos,,Organización civil sin fines de lucro (ONG),www.redsomos.org,2007,,
hacks-hackers,Hacks Hackers,,,,,,
democracia-digital,Democracia Digital,,,,,,
comite-para-la-democratizacion-de-la-informatica-cdi-colombia,Comite Para La Democratización De La Informatica. Cdi Colombia,,Organización civil sin fines de lucro (ONG),http://cdi.org.co,2005,,
protrash,Protrash,,Empresa privada (startup),http://www.protrashco.com,2016,,
sudestada,Revista Sudestada,Revista de periodismo,,http://www.revistasudestada.com.ar/,2001,https://www.facebook.com/sudestadarevista,https://twitter.com/revsudestada
elleven,Elleven,,Empresa privada (no incluye startup),www.11elleven.com.br,2012,,
cide,Cide,,Universidad/Instituto de investigación,,,,
fundacion-naturaleza-para-el-futuro-funafu,Fundación Naturaleza Para El Futuro (Funafu),,Organización civil sin fines de lucro (ONG),http://www.naturalezaparaelfuturo.org,2000,,
diario-de-pernambuco,Diario de Pernambuco,"Diário de Pernambuco es un periódico publicado en Recife, Brasil. El periódico comenzó a publicarse el 7 de noviembre de 1825. Es el diario más antiguo de circulación continua en Latinoamérica y el periódico más antiguo de circulación continua editado en portugués.",,https://www.diariodepernambuco.com.br/,1825,https://pt-br.facebook.com/jornaldiariodepernambuco/,https://twitter.com/DiarioPE?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
universidad-nacional-vivelab,Universidad Nacional (Vivelab),,Universidad/Instituto de investigación,www.vivelabbogota.com,2013,,
observatorio-del-gasto-fiscal-via-fundacion-contexto-ciudadano,Observatorio del Gasto Fiscal - via Fundación Contexto Ciudadano,,Organización civil sin fines de lucro (ONG),www.observatoriofiscal.cl,2015,,
ine-mx,Institución Nacional de Estadística y Geografía,Institución estatal de estadística de México,,http://www.inegi.org.mx/,,https://www.facebook.com/INEGIInforma/,https://twitter.com/inegi_informa
grupo-faro,Grupo Faro,,Organización civil sin fines de lucro (ONG),,,,
el-tiempo,El Tiempo,"Medio tradicional de comunicación en Colombia, realiza investigaciones basadas en datos para especiales periodisticos.",,http://www.eltiempo.com/,1911,https://www.facebook.com/eltiempo,https://twitter.com/eltiempo
tedic,Tedic,Es una ONG que desarrolla tecnología cívica abierta y defiende los derechos digitales en favor de una Cultura Libre en Internet,Organización civil sin fines de lucro (ONG),https://www.tedic.org/,2012,https://www.facebook.com/tedicpy1,https://twitter.com/TEDICpy
observatorio-legislativo,Observatorio Legislativo,,,,,,
chequeado,Chequeado,Es un medio digital no partidario y sin fines de lucro que se dedica a la verificación del discurso público y la promoción del acceso a la información y la apertura de datos.,Organización civil sin fines de lucro (ONG),www.chequeado.com,2010,https://www.facebook.com/Chequeado/,https://twitter.com/chequeado
centro-de-formacão-e-organizacão-comunitaria-ceforc,Centro De Formação E Organização Comunitária - Ceforc,,Organización civil sin fines de lucro (ONG),www.ceforc.org,1999,,
cuantas-mas,¿Cuántas más?,Es un proyecto que realiza monitoreo y levantamiento de datos sobre los casos de feminicidio en Bolivia,,https://cuantasmas.org/,2013,,
cultivando-futuro,Cultivando Futuro,,Empresa privada (startup),https://cultivandofuturo.com/,2014,,
calhau-social,Calhau Social,,Empresa privada (startup),www.calhausocial.org,2016,,
fundamedios,Fundamedios,,Organización civil sin fines de lucro (ONG),www.fundamedios.org,2007,,
animal-politico,Animal Político,Es una nueva publicación digital que reúne a un grupo de periodistas que hemos decidido apostar por esta vía para hacer periodismo.,,https://www.animalpolitico.com/,,https://www.facebook.com/pajaropolitico,https://twitter.com/pajaropolitico
fundacion-grupo-civico-etica-y-transparencia-eyt,Fundación Grupo Cívico Ética Y Transparencia (Eyt),,Organización civil sin fines de lucro (ONG),www.eyt.org.ni,1996,,
centro-de-investigacion-economica-y-presupuestaria-a-c,Centro De Investigación Económica Y Presupuestaria A.C.,,Organización civil sin fines de lucro (ONG),www.ciep.mx,2010,,
ideales-soluciones-sociales,Ideales Soluciones  Sociales,,Organización civil sin fines de lucro (ONG),,2013,,
distintas-latitudes,Distintas Latitudes,"Es una plataforma digital de información y análisis sobre América Latina en donde abordan 6 líneas temáticas: derechos humanos, datos abiertos, género, emprendimiento, sustentabilidad, arte y cultura.",,https://distintaslatitudes.net/,2009,https://www.facebook.com/DistintasLatitudes/?ref=br_rs,https://twitter.com/DLatitudes
universidad-de-santiago-de-chile-facultad-de-administracion-y-economia,"Universidad De Santiago De Chile, Facultad De Administración Y Economía",,Universidad/Instituto de investigación,http://www.fae.usach.cl/,1972,,
consejo-de-redaccion,Consejo de Redacción,Promueve el periodismo de investigación en Colombia para contribuir a la democratización de la información.,,https://consejoderedaccion.org/,2006,https://www.facebook.com/consejoderedaccion/,https://twitter.com/cdr_
