uid_proj,uid,name
a-que-precio-un-observatorio-de-compras-publicas,participación-ciudadana,Participación ciudadana
a-que-precio-un-observatorio-de-compras-publicas,uso-de-datos-abiertos,Uso de datos abiertos
a-que-precio-un-observatorio-de-compras-publicas,periodismo-de-datos,Periodismo de datos
innpactia-acercando-recursos-a-las-causas,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
innpactia-acercando-recursos-a-las-causas,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
innpactia-acercando-recursos-a-las-causas,participación-ciudadana,Participación ciudadana
innpactia-acercando-recursos-a-las-causas,uso-de-datos-abiertos,Uso de datos abiertos
cidades-em-dados-transparencia-e-controle-social,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
cidades-em-dados-transparencia-e-controle-social,participación-ciudadana,Participación ciudadana
cidades-em-dados-transparencia-e-controle-social,uso-de-datos-abiertos,Uso de datos abiertos
cidades-em-dados-transparencia-e-controle-social,periodismo-de-datos,Periodismo de datos
denunciapp-gt,mapeo-ciudadano,Mapeo ciudadano
denunciapp-gt,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
denunciapp-gt,participación-ciudadana,Participación ciudadana
denunciapp-gt,periodismo-de-datos,Periodismo de datos
appcesible,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
appcesible,mapeo-ciudadano,Mapeo ciudadano
appcesible,participación-ciudadana,Participación ciudadana
appcesible,uso-de-datos-abiertos,Uso de datos abiertos
appcesible,periodismo-de-datos,Periodismo de datos
habitala,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
habitala,uso-de-datos-abiertos,Uso de datos abiertos
datasketch,mapeo-ciudadano,Mapeo ciudadano
datasketch,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
datasketch,participación-ciudadana,Participación ciudadana
datasketch,uso-de-datos-abiertos,Uso de datos abiertos
datasketch,periodismo-de-datos,Periodismo de datos
ocupa-tu-calle,mapeo-ciudadano,Mapeo ciudadano
ocupa-tu-calle,participación-ciudadana,Participación ciudadana
congreso-publico-tecnologia-civica-para-una-democracia-inclusiva,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
congreso-publico-tecnologia-civica-para-una-democracia-inclusiva,mapeo-ciudadano,Mapeo ciudadano
congreso-publico-tecnologia-civica-para-una-democracia-inclusiva,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
congreso-publico-tecnologia-civica-para-una-democracia-inclusiva,participación-ciudadana,Participación ciudadana
congreso-publico-tecnologia-civica-para-una-democracia-inclusiva,uso-de-datos-abiertos,Uso de datos abiertos
estacionamiento-inteligente,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
estacionamiento-inteligente,mapeo-ciudadano,Mapeo ciudadano
estacionamiento-inteligente,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
estacionamiento-inteligente,participación-ciudadana,Participación ciudadana
estacionamiento-inteligente,uso-de-datos-abiertos,Uso de datos abiertos
periferia-na-palma-da-mão-conectando-conhecimentos-para-transformar,mapeo-ciudadano,Mapeo ciudadano
periferia-na-palma-da-mão-conectando-conhecimentos-para-transformar,participación-ciudadana,Participación ciudadana
buscandonos,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
buscandonos,uso-de-datos-abiertos,Uso de datos abiertos
buscandonos,periodismo-de-datos,Periodismo de datos
datarepublica-tecnologia-y-datos-para-el-desarrollo-sostenible-en-america-latina,mapeo-ciudadano,Mapeo ciudadano
datarepublica-tecnologia-y-datos-para-el-desarrollo-sostenible-en-america-latina,participación-ciudadana,Participación ciudadana
datarepublica-tecnologia-y-datos-para-el-desarrollo-sostenible-en-america-latina,uso-de-datos-abiertos,Uso de datos abiertos
datarepublica-tecnologia-y-datos-para-el-desarrollo-sostenible-en-america-latina,periodismo-de-datos,Periodismo de datos
innovacion-y-apertura-en-las-politicas-publicas-innovapp,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
innovacion-y-apertura-en-las-politicas-publicas-innovapp,mapeo-ciudadano,Mapeo ciudadano
innovacion-y-apertura-en-las-politicas-publicas-innovapp,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
innovacion-y-apertura-en-las-politicas-publicas-innovapp,participación-ciudadana,Participación ciudadana
innovacion-y-apertura-en-las-politicas-publicas-innovapp,uso-de-datos-abiertos,Uso de datos abiertos
ruta-de-las-medicinas,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
ruta-de-las-medicinas,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
ruta-de-las-medicinas,participación-ciudadana,Participación ciudadana
ruta-de-las-medicinas,uso-de-datos-abiertos,Uso de datos abiertos
www-laburojoven-com,uso-de-datos-abiertos,Uso de datos abiertos
potenciando-una-comunidad-de-datos-para-el-desarrollo-sostenible-en-peru,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
potenciando-una-comunidad-de-datos-para-el-desarrollo-sostenible-en-peru,mapeo-ciudadano,Mapeo ciudadano
potenciando-una-comunidad-de-datos-para-el-desarrollo-sostenible-en-peru,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
potenciando-una-comunidad-de-datos-para-el-desarrollo-sostenible-en-peru,participación-ciudadana,Participación ciudadana
potenciando-una-comunidad-de-datos-para-el-desarrollo-sostenible-en-peru,uso-de-datos-abiertos,Uso de datos abiertos
potenciando-una-comunidad-de-datos-para-el-desarrollo-sostenible-en-peru,periodismo-de-datos,Periodismo de datos
innovacion-civica-plataforma-tecnologica-de-gestion-de-servicios-publicos-para-el-gobierno-local,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
innovacion-civica-plataforma-tecnologica-de-gestion-de-servicios-publicos-para-el-gobierno-local,mapeo-ciudadano,Mapeo ciudadano
innovacion-civica-plataforma-tecnologica-de-gestion-de-servicios-publicos-para-el-gobierno-local,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
innovacion-civica-plataforma-tecnologica-de-gestion-de-servicios-publicos-para-el-gobierno-local,participación-ciudadana,Participación ciudadana
innovacion-civica-plataforma-tecnologica-de-gestion-de-servicios-publicos-para-el-gobierno-local,uso-de-datos-abiertos,Uso de datos abiertos
por-mi-barrio-nicaragua,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
por-mi-barrio-nicaragua,mapeo-ciudadano,Mapeo ciudadano
por-mi-barrio-nicaragua,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
por-mi-barrio-nicaragua,participación-ciudadana,Participación ciudadana
por-mi-barrio-nicaragua,uso-de-datos-abiertos,Uso de datos abiertos
tengo-la-palabra,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
tengo-la-palabra,participación-ciudadana,Participación ciudadana
omo-viajamos-app-para-realizar-denuncias-y-reclamos-en-el-uso-del-transporte-publico-de-pasajeros-de-la-region-metropolitana-de-buenos-aires,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
omo-viajamos-app-para-realizar-denuncias-y-reclamos-en-el-uso-del-transporte-publico-de-pasajeros-de-la-region-metropolitana-de-buenos-aires,uso-de-datos-abiertos,Uso de datos abiertos
muove-brasil,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
muove-brasil,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
muove-brasil,uso-de-datos-abiertos,Uso de datos abiertos
muove-brasil,periodismo-de-datos,Periodismo de datos
promesas-verdes,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
promesas-verdes,mapeo-ciudadano,Mapeo ciudadano
promesas-verdes,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
promesas-verdes,participación-ciudadana,Participación ciudadana
sistema-de-gestion-de-proyectos-de-inversion-de-la-provincia-de-rio-negro,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
sistema-de-gestion-de-proyectos-de-inversion-de-la-provincia-de-rio-negro,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
sistema-de-gestion-de-proyectos-de-inversion-de-la-provincia-de-rio-negro,uso-de-datos-abiertos,Uso de datos abiertos
laboratorio-para-la-accion-publica-appta,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
laboratorio-para-la-accion-publica-appta,mapeo-ciudadano,Mapeo ciudadano
laboratorio-para-la-accion-publica-appta,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
laboratorio-para-la-accion-publica-appta,participación-ciudadana,Participación ciudadana
laboratorio-para-la-accion-publica-appta,uso-de-datos-abiertos,Uso de datos abiertos
laboratorio-para-la-accion-publica-appta,periodismo-de-datos,Periodismo de datos
observatorio-do-plano-nacional-de-educacão-opne,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
observatorio-do-plano-nacional-de-educacão-opne,participación-ciudadana,Participación ciudadana
observatorio-do-plano-nacional-de-educacão-opne,uso-de-datos-abiertos,Uso de datos abiertos
observatorio-do-plano-nacional-de-educacão-opne,periodismo-de-datos,Periodismo de datos
municipio-verde,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
municipio-verde,mapeo-ciudadano,Mapeo ciudadano
municipio-verde,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
municipio-verde,participación-ciudadana,Participación ciudadana
municipio-verde,uso-de-datos-abiertos,Uso de datos abiertos
certificaciones-de-sostenibilidad-para-empresas-y-consumidores,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
certificaciones-de-sostenibilidad-para-empresas-y-consumidores,uso-de-datos-abiertos,Uso de datos abiertos
onesmart-technology,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
onesmart-technology,mapeo-ciudadano,Mapeo ciudadano
onesmart-technology,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
onesmart-technology,participación-ciudadana,Participación ciudadana
onesmart-technology,uso-de-datos-abiertos,Uso de datos abiertos
hora-salud,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
hora-salud,mapeo-ciudadano,Mapeo ciudadano
hora-salud,participación-ciudadana,Participación ciudadana
ilhapush,participación-ciudadana,Participación ciudadana
sistema-de-gestão-de-ideias-para-seguranca-publica,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
sistema-de-gestão-de-ideias-para-seguranca-publica,participación-ciudadana,Participación ciudadana
el-mirador-de-salud-sexual-y-reproductiva,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
el-mirador-de-salud-sexual-y-reproductiva,mapeo-ciudadano,Mapeo ciudadano
el-mirador-de-salud-sexual-y-reproductiva,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
el-mirador-de-salud-sexual-y-reproductiva,participación-ciudadana,Participación ciudadana
el-mirador-de-salud-sexual-y-reproductiva,uso-de-datos-abiertos,Uso de datos abiertos
cityflag,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
cityflag,mapeo-ciudadano,Mapeo ciudadano
cityflag,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
cityflag,participación-ciudadana,Participación ciudadana
cityflag,uso-de-datos-abiertos,Uso de datos abiertos
cityflag,periodismo-de-datos,Periodismo de datos
plataforma-digital-do-livro-aos-trancos-e-barrancos-como-o-brasil-deu-no-que-deu-de-darcy-ribeiro,participación-ciudadana,Participación ciudadana
plataforma-digital-do-livro-aos-trancos-e-barrancos-como-o-brasil-deu-no-que-deu-de-darcy-ribeiro,uso-de-datos-abiertos,Uso de datos abiertos
plataforma-digital-do-livro-aos-trancos-e-barrancos-como-o-brasil-deu-no-que-deu-de-darcy-ribeiro,periodismo-de-datos,Periodismo de datos
asamblea,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
asamblea,participación-ciudadana,Participación ciudadana
asamblea,uso-de-datos-abiertos,Uso de datos abiertos
plataforma-cidadã,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
plataforma-cidadã,mapeo-ciudadano,Mapeo ciudadano
plataforma-cidadã,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
plataforma-cidadã,participación-ciudadana,Participación ciudadana
plataforma-cidadã,uso-de-datos-abiertos,Uso de datos abiertos
plataforma-cidadã,periodismo-de-datos,Periodismo de datos
comunidad-huerta,mapeo-ciudadano,Mapeo ciudadano
comunidad-huerta,uso-de-datos-abiertos,Uso de datos abiertos
repositorios-digitales-abiertos-en-sistemas-de-transporte-publico-para-promocion-del-acceso-a-informacion-y-transparencia,mapeo-ciudadano,Mapeo ciudadano
repositorios-digitales-abiertos-en-sistemas-de-transporte-publico-para-promocion-del-acceso-a-informacion-y-transparencia,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
repositorios-digitales-abiertos-en-sistemas-de-transporte-publico-para-promocion-del-acceso-a-informacion-y-transparencia,participación-ciudadana,Participación ciudadana
repositorios-digitales-abiertos-en-sistemas-de-transporte-publico-para-promocion-del-acceso-a-informacion-y-transparencia,uso-de-datos-abiertos,Uso de datos abiertos
la-tecnologia-un-reto-para-el-avance-tecnico-y-politico-de-las-funcionarias-municipales,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
la-tecnologia-un-reto-para-el-avance-tecnico-y-politico-de-las-funcionarias-municipales,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
la-tecnologia-un-reto-para-el-avance-tecnico-y-politico-de-las-funcionarias-municipales,participación-ciudadana,Participación ciudadana
la-tecnologia-un-reto-para-el-avance-tecnico-y-politico-de-las-funcionarias-municipales,uso-de-datos-abiertos,Uso de datos abiertos
enmobi,mapeo-ciudadano,Mapeo ciudadano
enmobi,participación-ciudadana,Participación ciudadana
enmobi,uso-de-datos-abiertos,Uso de datos abiertos
enmobi,periodismo-de-datos,Periodismo de datos
pedidos-de-informacão-publica-anonimos,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
pedidos-de-informacão-publica-anonimos,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
pedidos-de-informacão-publica-anonimos,participación-ciudadana,Participación ciudadana
pedidos-de-informacão-publica-anonimos,uso-de-datos-abiertos,Uso de datos abiertos
asociacion-civil-ernesto-shneider-troller,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
asociacion-civil-ernesto-shneider-troller,participación-ciudadana,Participación ciudadana
blockchain-transparencia-y-servicios-publicos,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
blockchain-transparencia-y-servicios-publicos,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
blockchain-transparencia-y-servicios-publicos,participación-ciudadana,Participación ciudadana
medios-de-periodismo-ciudadano-independientes-participativos-transparentes-de-alta-escalabilidad-e-impacto-social,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
medios-de-periodismo-ciudadano-independientes-participativos-transparentes-de-alta-escalabilidad-e-impacto-social,participación-ciudadana,Participación ciudadana
vojo-brasil-conectando-comunidades-afros-do-brasil,participación-ciudadana,Participación ciudadana
monitoreo-y-seguimiento-de-temas-medio-ambientales-en-el-sur-de-bolivia-chuquisaca-tarija-potosi-y-chaco,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
monitoreo-y-seguimiento-de-temas-medio-ambientales-en-el-sur-de-bolivia-chuquisaca-tarija-potosi-y-chaco,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
monitoreo-y-seguimiento-de-temas-medio-ambientales-en-el-sur-de-bolivia-chuquisaca-tarija-potosi-y-chaco,participación-ciudadana,Participación ciudadana
monitoreo-y-seguimiento-de-temas-medio-ambientales-en-el-sur-de-bolivia-chuquisaca-tarija-potosi-y-chaco,uso-de-datos-abiertos,Uso de datos abiertos
monitoreo-y-seguimiento-de-temas-medio-ambientales-en-el-sur-de-bolivia-chuquisaca-tarija-potosi-y-chaco,periodismo-de-datos,Periodismo de datos
medata,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
medata,participación-ciudadana,Participación ciudadana
medata,uso-de-datos-abiertos,Uso de datos abiertos
medata,periodismo-de-datos,Periodismo de datos
pleno-ciudadano,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
pleno-ciudadano,participación-ciudadana,Participación ciudadana
usocial-maps,mapeo-ciudadano,Mapeo ciudadano
usocial-maps,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
usocial-maps,participación-ciudadana,Participación ciudadana
usocial-maps,uso-de-datos-abiertos,Uso de datos abiertos
combate-a-la-pobreza-multidimensional-mediante-alianzas-publico-privadas,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
combate-a-la-pobreza-multidimensional-mediante-alianzas-publico-privadas,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
combate-a-la-pobreza-multidimensional-mediante-alianzas-publico-privadas,participación-ciudadana,Participación ciudadana
combate-a-la-pobreza-multidimensional-mediante-alianzas-publico-privadas,uso-de-datos-abiertos,Uso de datos abiertos
presupuesto-participativo,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
presupuesto-participativo,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
presupuesto-participativo,participación-ciudadana,Participación ciudadana
presupuesto-participativo,uso-de-datos-abiertos,Uso de datos abiertos
presupuesto-participativo,periodismo-de-datos,Periodismo de datos
vacuna-sociales-proyecto-tom-g5g,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
vacuna-sociales-proyecto-tom-g5g,participación-ciudadana,Participación ciudadana
vacuna-sociales-proyecto-tom-g5g,uso-de-datos-abiertos,Uso de datos abiertos
vacuna-sociales-proyecto-tom-g5g,periodismo-de-datos,Periodismo de datos
contratobook-plataforma-de-auditoria-ciudadana,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
contratobook-plataforma-de-auditoria-ciudadana,participación-ciudadana,Participación ciudadana
contratobook-plataforma-de-auditoria-ciudadana,uso-de-datos-abiertos,Uso de datos abiertos
contratobook-plataforma-de-auditoria-ciudadana,periodismo-de-datos,Periodismo de datos
democratizacion-de-la-informacion-y-sostenibilidad-de-los-medios,participación-ciudadana,Participación ciudadana
democratizacion-de-la-informacion-y-sostenibilidad-de-los-medios,periodismo-de-datos,Periodismo de datos
lupa-dca,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
lupa-dca,mapeo-ciudadano,Mapeo ciudadano
lupa-dca,participación-ciudadana,Participación ciudadana
lupa-dca,uso-de-datos-abiertos,Uso de datos abiertos
ligando-os-pontos,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
ligando-os-pontos,mapeo-ciudadano,Mapeo ciudadano
ligando-os-pontos,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
ligando-os-pontos,participación-ciudadana,Participación ciudadana
ligando-os-pontos,uso-de-datos-abiertos,Uso de datos abiertos
tem-acucar-tienes-azucar,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
tem-acucar-tienes-azucar,mapeo-ciudadano,Mapeo ciudadano
tem-acucar-tienes-azucar,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
tem-acucar-tienes-azucar,participación-ciudadana,Participación ciudadana
tem-acucar-tienes-azucar,uso-de-datos-abiertos,Uso de datos abiertos
cidades-transparentes-inovacões-a-partir-de-dados-abertos,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
cidades-transparentes-inovacões-a-partir-de-dados-abertos,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
cidades-transparentes-inovacões-a-partir-de-dados-abertos,participación-ciudadana,Participación ciudadana
cidades-transparentes-inovacões-a-partir-de-dados-abertos,uso-de-datos-abiertos,Uso de datos abiertos
"analisis-de-portales-de-datos-abiertos-gubernamentales,analisis-de-portales-de-datos-abiertos-gubernamentales-segunda-carga-con-la-metodologia-en-la-anterior-aplicacion-no-la-llegamos-a-cargar",transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
"analisis-de-portales-de-datos-abiertos-gubernamentales,analisis-de-portales-de-datos-abiertos-gubernamentales-segunda-carga-con-la-metodologia-en-la-anterior-aplicacion-no-la-llegamos-a-cargar",participación-ciudadana,Participación ciudadana
"analisis-de-portales-de-datos-abiertos-gubernamentales,analisis-de-portales-de-datos-abiertos-gubernamentales-segunda-carga-con-la-metodologia-en-la-anterior-aplicacion-no-la-llegamos-a-cargar",uso-de-datos-abiertos,Uso de datos abiertos
asociacion-de-estudiantes-de-escuela-de-gobierno,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
asociacion-de-estudiantes-de-escuela-de-gobierno,mapeo-ciudadano,Mapeo ciudadano
asociacion-de-estudiantes-de-escuela-de-gobierno,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
asociacion-de-estudiantes-de-escuela-de-gobierno,participación-ciudadana,Participación ciudadana
asociacion-de-estudiantes-de-escuela-de-gobierno,uso-de-datos-abiertos,Uso de datos abiertos
asociacion-de-estudiantes-de-escuela-de-gobierno,periodismo-de-datos,Periodismo de datos
veedor-de-obras,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
veedor-de-obras,mapeo-ciudadano,Mapeo ciudadano
veedor-de-obras,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
veedor-de-obras,participación-ciudadana,Participación ciudadana
veedor-de-obras,uso-de-datos-abiertos,Uso de datos abiertos
veedor-de-obras,periodismo-de-datos,Periodismo de datos
desarrollo-de-sistema-para-la-acreditacion-del-derecho-a-la-identidad-asemusa,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
desarrollo-de-sistema-para-la-acreditacion-del-derecho-a-la-identidad-asemusa,mapeo-ciudadano,Mapeo ciudadano
desarrollo-de-sistema-para-la-acreditacion-del-derecho-a-la-identidad-asemusa,participación-ciudadana,Participación ciudadana
desarrollo-de-sistema-para-la-acreditacion-del-derecho-a-la-identidad-asemusa,uso-de-datos-abiertos,Uso de datos abiertos
concive-y-tecnologia-civica,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
concive-y-tecnologia-civica,participación-ciudadana,Participación ciudadana
concive-y-tecnologia-civica,uso-de-datos-abiertos,Uso de datos abiertos
sistema-de-gestion-participativa-para-la-incidencia-social-en-politicas-publicas,mapeo-ciudadano,Mapeo ciudadano
sistema-de-gestion-participativa-para-la-incidencia-social-en-politicas-publicas,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
sistema-de-gestion-participativa-para-la-incidencia-social-en-politicas-publicas,participación-ciudadana,Participación ciudadana
guanadata-2-0,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
guanadata-2-0,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
guanadata-2-0,participación-ciudadana,Participación ciudadana
guanadata-2-0,uso-de-datos-abiertos,Uso de datos abiertos
guanadata-2-0,periodismo-de-datos,Periodismo de datos
rio-abierto,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
rio-abierto,mapeo-ciudadano,Mapeo ciudadano
rio-abierto,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
rio-abierto,participación-ciudadana,Participación ciudadana
rio-abierto,uso-de-datos-abiertos,Uso de datos abiertos
rio-abierto,periodismo-de-datos,Periodismo de datos
mapa-internacional-de-instituicões-arquivisticas-archives-world-map,mapeo-ciudadano,Mapeo ciudadano
mapa-internacional-de-instituicões-arquivisticas-archives-world-map,participación-ciudadana,Participación ciudadana
mapa-internacional-de-instituicões-arquivisticas-archives-world-map,uso-de-datos-abiertos,Uso de datos abiertos
open-failure,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
open-failure,participación-ciudadana,Participación ciudadana
open-failure,uso-de-datos-abiertos,Uso de datos abiertos
el-recorrido-tecnologia-ciudadana-para-mejorar-la-deteccion-temprana-del-cancer-en-el-sistema-publico-de-salud,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
el-recorrido-tecnologia-ciudadana-para-mejorar-la-deteccion-temprana-del-cancer-en-el-sistema-publico-de-salud,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
el-recorrido-tecnologia-ciudadana-para-mejorar-la-deteccion-temprana-del-cancer-en-el-sistema-publico-de-salud,participación-ciudadana,Participación ciudadana
analisis-de-campana-para-candidatos-independientes,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
analisis-de-campana-para-candidatos-independientes,mapeo-ciudadano,Mapeo ciudadano
analisis-de-campana-para-candidatos-independientes,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
analisis-de-campana-para-candidatos-independientes,participación-ciudadana,Participación ciudadana
