org_uid,org_name,proj_uid,proj_name
wingu,Wingu,calculadora-de-la-desigualdad-de-genero,Calculadora De La Desigualdad De Género
facultad-de-ingeneria-universidad-de-los-andes,Facultad De Ingenería Universidad De Los Andes,infraestructura-visible,Infraestructura Visible
secretaria-de-planificacion,Secretaría De Planificación,sistema-de-gestion-de-proyectos-de-inversion-de-la-provincia-de-rio-negro,Sistema De Gestión De Proyectos De Inversión De La Provincia De Río Negro
llactalab-ciudades-sustentables,Llactalab - Ciudades Sustentables,laboratorio-de-movilidad,Laboratorio De Movilidad
asociacion-intermunicipal-del-valle-de-jiboa-mijiboa,Asociación Intermunicipal Del Valle De Jiboa Mijiboa,desarrollo-de-sistema-para-transparentar-la-gestion-municipal-mijiboa,Desarrollo De Sistema Para Transparentar La Gestión Municipal Mijiboa
congreso-transparente,Congreso Transparente,congreso-transparente,Congreso Transparente
atlas-smart-cities,Atlas Smart Cities,co-crea-tu-ciudad,Co-Creá Tu Ciudad
fundacion-proyecto-propio,Fundación Proyecto Propio,fortalecimiento-de-junta-de-vecinos,Fortalecimiento De Junta De Vecinos
alcalde-como-vamos,"Alcalde, Como Vamos?",sin-nombre,Sin Nombre
open-knowledge-ecuador,Open Knowledge Ecuador,,
regional,Regional,developing-the-caribean,Developing The Caribean
ong-para-iberoamerica,Ong Para Iberoamerica,culturadered,Culturadered
appcivico-eokoe-solucoes-tecnologicas,AppCivico - EOKOE SOLUÇÕES TECNOLÓGICAS LTDA,cidades-em-dados-transparencia-e-controle-social,Cidades Em Dados - Transparência E Controle Social
appcivico-eokoe-solucoes-tecnologicas,AppCivico - EOKOE SOLUÇÕES TECNOLÓGICAS LTDA,sagui-sistema-de-escucha-monitoreo-y-alerta-sobre-riesgos-y-impactos-de-grandes-emprendimientos-en-los-derechos-de-las-comunidades-locales,"Sagui: Sistema De Escucha, Monitoreo Y Alerta Sobre Riesgos Y Impactos De Grandes Emprendimientos En Los Derechos De Las Comunidades Locales"
appcivico-eokoe-solucoes-tecnologicas,AppCivico - EOKOE SOLUÇÕES TECNOLÓGICAS LTDA,appcivico-mandato-aberto-e-voto-legal,Appcivico - Mandato Aberto E Voto Legal
appcivico-eokoe-solucoes-tecnologicas,AppCivico - EOKOE SOLUÇÕES TECNOLÓGICAS LTDA,mobilidade-urbana-aberta,
appcivico-eokoe-solucoes-tecnologicas,AppCivico - EOKOE SOLUÇÕES TECNOLÓGICAS LTDA,libre,Libre
appcivico-eokoe-solucoes-tecnologicas,AppCivico - EOKOE SOLUÇÕES TECNOLÓGICAS LTDA,mobilidade-urbana-aberta,Mobilidade Urbana Aberta
avisora,Avisora,avisora,Avisora
guayi,Guayí,plataforma-ecosol-feminista,Plataforma Ecosol Feminista
explico-s-a-ludiverse-inc,"Explico, S.A. / Ludiverse Inc.",micongreso,
fundar-centro-de-analisis-e-investigacion,"Fundar, Centro De Análisis E Investigación",transparencia-en-publicidad-oficial,Transparencia En Publicidad Oficial
ministerio-de-economia-de-peru,Ministerio de Economía del Perú,consulta-amigable,Consulta Amigable
ruta-civica,Ruta Cívica,obra-chueca,
ruta-civica,Ruta Cívica,obra-chueca,Obra Chueca
asociacion-civil-guatecambia,Asociación Civil Guatecambia,chatbot-civico-para-el-fortalecimiento-de-la-gestion-de-denuncias-ciudadanas-en-la-municipalidad-de-quetzaltenango,Chatbot Cívico Para El Fortalecimiento De La Gestión De Denuncias Ciudadanas En La Municipalidad De Quetzaltenango
folha-de-sao-paulo,Folha,lupa,Lupa
creapption,Creapption,estacionamiento-inteligente,Estacionamiento Inteligente
creapption,Creapption,innovacion-civica-para-la-mejora-del-transporte-publico-en-mendoza,Innovación Cívica Para La Mejora Del Transporte Público En Mendoza
creative-commons,Creative Commons,creative-commons-ecuador,Creative Commons Ecuador
creative-commons,Creative Commons,sin-nombre,Sin Nombre
asociacion-centro-ciudadano-de-estudios-para-una-sociedad-abierta-accesa,Asociación Centro Ciudadano De Estudios Para Una Sociedad Abierta -Accesa,innovacion-civica-plataforma-tecnologica-de-gestion-de-servicios-publicos-para-el-gobierno-local,Innovación Cívica: Plataforma Tecnológica De Gestión De Servicios Públicos Para El Gobierno Local
asociacion-centro-ciudadano-de-estudios-para-una-sociedad-abierta-accesa,Asociación Centro Ciudadano De Estudios Para Una Sociedad Abierta -Accesa,experimento-social-overhaul-de-la-democracia-a-traves-de-la-tecnologia,Experimento Social: Overhaul De La Democracia A Través De La Tecnología
politize,Politize,politica-na-pratica,Política Na Prática
centro-de-midias-civicas-do-mit-media-lab,Centro De Mídias Cívicas Do Mit Media Lab,cuidando-e-monitorando-a-cidade,Cuidando E Monitorando A Cidade
sumando-esfuerzos,Sumando Esfuerzos,sumando-esfuerzos,Sumando Esfuerzos
instituto-midia-etnica,Instituto Mídia Étnica,vojo-brasil-conectando-comunidades-afros-do-brasil,Vojo Brasil - Conectando Comunidades Afros Do Brasil
red-consejo-ciudadano-a-la-contraloria-a-c,Red Consejo Ciudadano A La Contraloria A.C.,portal-web-contraloria-ciudadana-puebla-para-la-denuncia,Portal Web Contraloria Ciudadana Puebla Para La Denuncia
democracia-en-red,Democracia En Red,hecha-la-ley,Hecha La Ley
democracia-en-red,Democracia En Red,partido-de-la-red,Partido De La Red
democracia-en-red,Democracia En Red,democracy-os,Democracy Os
democracia-en-red,Democracia En Red,democracyos-por-democracia-en-red,Democracyos - Por Democracia En Red
okfn-el-salvador,Okfn El Salvador,datos-el-salvador,Datos El Salvador
tu-voto-cuenta,Tu Voto Cuenta,tu-voto-cuenta,Tu Voto Cuenta
contexto,Contexto,politica-en-contexto,Política En Contexto
cooperativa-girasol-de-cosumo-solidario,Cooperativa Girasol De Cosumo Solidário,girasol-em-rede,Girasol Em Rede
fundacion-buena-nota,Fundación Buena Nota,omunaire,
fundacion-buena-nota,Fundación Buena Nota,comunaire,Comunaire
fundacion-buena-nota,Fundación Buena Nota,planeadores-ciudadanos,
jo-venes-contra-la-violencia,Jóvenes Contra la Violencia,comunidas-2-0,
agencia-ecologista-de-informacion-tegantai,Agencia Ecologista De Información Tegantai,estrategias-comunitarias-para-crear-y-fortalecer-un-sistema-de-comunicaci-libre-y-comunitaria-en-la-costa-pac-ifica-de-esmeraldas-ecuador,"Estrategias Comunitarias Para Crear Y Fortalecer Un Sistema De Comunicaci Libre Y Comunitaria En La Costa Pac{Ifica De Esmeraldas, Ecuador."
artigo-19-brasil,Artigo 19 Brasil,informacion-y-datos-para-combatir-la-violencia-contra-la-mujer-en-brasil,Información Y Datos Para Combatir La Violencia Contra La Mujer En Brasil
cleteci-s-a,Cleteci S.A,citiviva-ciudadania-inteligente,Citiviva - Ciudadanía Inteligente
vetor-brasil,Vetor Brasil,trainee-de-gesta-o-pu-blica,Trainee De Gesta~O Pu´Blica
project-poder,PODER,torre-de-control,Torre de Control
project-poder,PODER,herramientas-para-el-uso-del-open-contracting-data-standard-y-combatirla-captura-del-estado-desde-sociedad-civil,Herramientas Para El Uso Del Open Contracting Data Standard Y Combatirla Captura Del Estado Desde Sociedad Civil
project-poder,PODER,rinde-cuentas,Rinde Cuentas
project-poder,PODER,mexicoleaks,Méxicoleaks
project-poder,PODER,creacion-de-chileleaks-centroamericaleaks-y-latamleaks-coordinadora-regional-de-las-plataformas-de-whistleblowing,"Creación De Chileleaks, Centroaméricaleaks Y  Latamleaks, Coordinadora Regional De Las Plataformas De Whistleblowing."
project-poder,PODER,quien-es-quien-wiki,Quien Es Quien Wiki
project-poder,PODER,sin-nombre,Sin Nombre
colab,Colab,colab,Colab
fundacion-centro-latinoamericano-de-derechos-humanos,Fundación Centro Latinoamericano de Derechos Humanos,innovacion-civica-para-la-mejora-del-transporte-publico-en-mendoza,Innovación Cívica Para La Mejora Del Transporte Público En Mendoza
abrepuertorico,Abrepuertorico,abre-puerto-rico,Abre Puerto Rico
poder-ciudadano,Poder Ciudadano,dbjj-abiertas,Dbjj Abiertas
poder-ciudadano,Poder Ciudadano,poder-ciudadano,Poder Ciudadano
la-publica,La pública,lapublica-org-bo,Lapublica.Org.Bo
chicas-poderosas,Chicas Poderosas,sin-nombre,Sin Nombre
chicas-poderosas,Chicas Poderosas,chicas-poderosas-chile,Chicas Poderosas Chile
central-america-software-services,Central America Software Services,doctor-smart,
colombia-check,Colombia Check,mujeres-sanan-heridas,Mujeres que sanan las heridas que en otras dejó la guerra
colombia-check,Colombia Check,ddhh-posconflicto,DD.HH en el posconflicto colombiano
colombia-check,Colombia Check,contralorias,Tras la pista de las Contralorías
instituto-del-desarrollo-de-la-juventud,Instituto Del Desarrollo De La Juventud,instituto-del-desarrollo-de-la-juventud,Instituto Del Desarrollo De La Juventud
observatorio-de-comunicacion-pucv,Observatorio De Comunicación Pucv,observadores-de-comunicacion-ciudadana,
observatorio-de-comunicacion-pucv,Observatorio De Comunicación Pucv,"sistema-de-informacion-territorial-prodepaz,observadores-de-comunicacion-ciudadana","Sistema De Información Territorial Prodepaz,Observadores De Comunicación Ciudadana"
tribunal-permanente-de-los-pueblos,Tribunal Permanente De Los Pueblos,tpp,Tpp
areta-valente-guimarães-mei,Areta Valente Guimarães Mei,projeto-felicia-aplicativos-catatudo,Projeto Felícia - Aplicativos Catatudo
centro-para-programas-de-comunicacion-nicaragua-cpcnic,Centro Para Programas De Comunicación Nicaragua (Cpcnic),por-mi-barrio-nicaragua,Por Mi Barrio Nicaragua
instituto-são-paulo-sustentavel,Instituto São Paulo Sustentável,mobilidade-urbana-aberta,
instituto-são-paulo-sustentavel,Instituto São Paulo Sustentável,mobilidade-urbana-aberta,Mobilidade Urbana Aberta
impacto-norte-srl,Impacto Norte Srl,warmi-mujer-en-quechua,Warmi  (Mujer En Quechua) -
comunideas-sas,Comunideas Sas,enmobi,Enmobi
fundacion-karisma,Fundación Karisma,lab-its,Innovación y tecnología social
fundacion-karisma,Fundación Karisma,klab,K+LAB
fundacion-karisma,Fundación Karisma,burocratas,Burocratas
fundacion-karisma,Fundación Karisma,laboratorio-tecnologico,Laboratior Tecnológico
gobierno-de-colombia,Gobierno De Colombia,colombia-en-linea,Colombia En Linea
consejo-civico-de-vecinos,Consejo Civico De Vecinos,concive-y-tecnologia-civica,Concive Y Tecnologia Civica
mindball-ong-planeta,Mindball Ong Planeta,vacuna-sociales-proyecto-tom-g5g,Vacuna Sociales Proyecto Tom G5G
instituto-ecoar-para-a-cidadania,Instituto Ecoar Para A Cidadania,plataforma-brasil-compra-cidadão-fiscaliza,Plataforma Brasil Compra & Cidadão Fiscaliza
voter-desenvolvimento-de-software-ltda,Voter Desenvolvimento De Software Ltda,sos-eleitor-sos-votante,Sos Eleitor (Sos Votante)
fundacion-capital-los-empleados-mencionados-hacen-referencia-a-toda-la-organizacion-regional-que-esta-conformada-por-varias-sucursales-una-de-ellas-es-mexico-y-es-en-mexico-donde-estamos-proponiendo-realizar-mopa-por-el-momento,"Fundación Capital - Los Empleados Mencionados Hacen Referencia A Toda La Organización Regional Que Esta Conformada Por Varias Sucursales. Una De Ellas Es México, Y Es En México Donde Estamos Proponiendo Realizar Mopa Por El Momento.",mopa,Mopa
associated-whistleblowing-press,Associated Whistleblowing Press,creacion-de-chileleaks-centroamericaleaks-y-latamleaks-coordinadora-regional-de-las-plataformas-de-whistleblowing,
associated-whistleblowing-press,Associated Whistleblowing Press,creacion-de-chileleaks-centroamericaleaks-y-latamleaks-coordinadora-regional-de-las-plataformas-de-whistleblowing,"Creación De Chileleaks, Centroaméricaleaks Y  Latamleaks, Coordinadora Regional De Las Plataformas De Whistleblowing."
nucleo-de-estudos-em-inteligencia-gestão-e-tecnologias-para-inovacão-igti,"Núcleo De Estudos Em Inteligência, Gestão E Tecnologias Para Inovação (Igti)",sistema-de-gestão-de-ideias-para-seguranca-publica,Sistema De Gestão De Ideias Para Segurança Pública
update,Update,toolkit-electoral,Toolkit Electoral
agencia-metropolitana-de-seguridad-laboratorio-de-politicas-publicas,"Agencia Metropolitana De Seguridad, Laboratorio De Políticas Públicas",red-tonos-cihuatl,
agencia-metropolitana-de-seguridad-laboratorio-de-politicas-publicas,"Agencia Metropolitana De Seguridad, Laboratorio De Políticas Públicas",red-tonos-cihuatl,Red Tonos Cihuatl
universidade-federal-de-santa-catarina-ufsc-centro-tecnologico-ctc-departamento-de-engenharia-e-gestão-do-conhecimento-degc-nucleo-de-estudos-em-inteligencia-gestão-e-tecnologias-para-inovacão-igti,"Universidade Federal de Santa Catarina (UFSC); Centro Tecnológico (CTC); Departamento de Engenharia e Gestão do Conhecimento (dEGC); Núcleo de Estudos em Inteligência, Gestão e Tecnologias para Inovação (IGTI)",sistema-de-gestão-de-ideias-para-seguranca-publica,
rede-de-observatorio-social-do-brasil,Rede De Observatorio Social Do Brasil,cuidando-e-monitorando-a-cidade,Cuidando E Monitorando A Cidade
wheels,Wheels,wheels,Wheels
mismatica-management-sistemas-de-gestion-mismatica-chile-limitada,Mismatica Management (Sistemas De Gestión Mismatica Chile Limitada),blockchain-transparencia-y-servicios-publicos,"Blockchain, Transparencia Y Servicios Públicos"
servicios-universitarios-y-redes-de-conocimiento-en-oaxaca-a-c,Servicios Universitarios Y Redes De Conocimiento En Oaxaca A C,plataforma-civica-para-la-participacion-indigena-mediante-derecho-al-acceso-a-la-informacion,Plataforma Cívica Para La Participación Indígena Mediante Derecho Al Acceso A La Información.
olmeca-soy,Olmeca Soy,fortalecimiento-civico-y-comunitario-por-expertos-sociales,Fortalecimiento Civico Y Comunitario Por Expertos Sociales
responsible-business-alliance-rba,Responsible Business Alliance (Rba),red-pais-una-plataforma-para-articular-el-progreso-social,Red País. Una Plataforma Para Articular El Progreso Social.
fundacion-corona,Fundación Corona,ciudatos-te-acerca-a-tu-ciudad,"Ciudatos, Te Acerca A Tu Ciudad"
fundacion-corona,Fundación Corona,tecnologia-civica-para-una-sociedad-conectada-y-participativa,Tecnología Cívica Para Una Sociedad Conectada Y Participativa.
civica-digital,Cívica Digital civica-digital-mexico-sapi-de-cv,3-de-3,3 de 3
civica-digital,Cívica Digital civica-digital-mexico-sapi-de-cv,plataforma-para-participacion-ciudadana-de-vecinos,Plataforma Para Participación Ciudadana De Vecinos
civica-digital,Cívica Digital civica-digital-mexico-sapi-de-cv,urbem-urbem-digital,Urbem - Urbem.Digital
civica-digital,Cívica Digital civica-digital-mexico-sapi-de-cv,contratados-org,Contratados.Org
codeni,Codeni,observatorio-sobre-los-derechos-humanos-de-la-nii-ez-y-adolescencia-nicaragi-ense,Observatorio Sobre Los Derechos Humanos De La Niì±Ez Y Adolescencia Nicaragì_Ense
akredito,Akredito,akredito,Akredito
techo,Techo,relevamiento-de-asentamientos-informales-en-centro-america,Relevamiento De Asentamientos Informales En Centro América
techo,Techo,midiendo-los-niveles-de-integracion-sociourbana-de-asentamientos-informales-en-argentina,Midiendo Los Niveles De Integración Sociourbana De Asentamientos Informales En Argentina
techo,Techo,asentamientos,Relevamiento de asentamientos informales
accion-ciudadana,Acción Ciudadana,app-interfaz-de-verificacion-de-cuotas-patronales-del-sector-publico-y-privado-igss-guatemala,"App Interfaz De Verificación De Cuotas Patronales Del Sector Público Y Privado Igss, Guatemala"
resabis-prevencion-salud-y-bienestar-social,"""\""PRESABIS\"" Prevención, Salud y Bienestar Social""",yo-propongo,
asociacion-civil-ernesto-shneider-troller,Asociación Civil Ernesto Shneider Troller,asociacion-civil-ernesto-shneider-troller,Asociación Civil Ernesto Shneider Troller
grupo-cidic,Grupo Cidic,red-ciudadana-de-monitoreo-de-la-calidad-del-aire,Red Ciudadana De Monitoreo De La Calidad Del Aire
openstreetmap-nicaragua,Openstreetmap Nicaragua,mapanica,Mapanica
la-nacion-arg,La Nación,donde-y-por-que-se-corta-la-luz,Dónde y por qué se corta la luz
la-nacion-arg,La Nación,declaraciones-juradas,Declaraciones Juradas Abiertas
la-nacion-arg,La Nación,a-que-precio,A qué precio
la-nacion-arg,La Nación,un-tercio-de-los-miembros-del-congreso-no-posee-titulo-universitario,Un tercio de los miembros del Congreso no posee título universitario
la-nacion-arg,La Nación,elecciones-2017,Elecciones 2017: en qué provincias ganó Cambiemos y por cuánto
world-resources-institute-mexico,World Resources Institute México,tecnologia-civica-para-mejorar-la-movilidad-de-manera-participativa,
world-resources-institute-mexico,World Resources Institute México,tecnologia-civica-para-mejorar-la-movilidad-de-manera-participativa,Tecnología Cívica Para Mejorar La Movilidad De Manera Participativa
fundacion-ensena-por-argentina,Fundación Enseñá Por Argentina,www-laburojoven-com,Www.Laburojoven.Com
fundacion-ecomunidad,Fundación Ecomunidad,inteligencia-artificial-contra-la-corrupcion,Inteligencia Artificial Contra La Corrupción
beetec-inteligencia-colectiva,Beetec Inteligencia Colectiva,agencia-informativa-ciudadana,Agencia Informativa Ciudadana
corporacion-somos-mas,Corporación Somos Más,asamblea,Asamblea
transformacion-de-obreros-y-tecnicos-esperanza-de-mexico-totem-a-c,Transformación De Obreros Y Técnicos Esperanza De México Totem A.C,crear-un-centro-de-atencion-ciudadana-online-y-semipresencial,Crear Un Centro De Atencion Ciudadana Online Y Semipresencial
jmm-tech,Jmm Tech,mobqi,Mobqi
brujula-turistica,Brújula Turística,appacheta-desarrollo-de-un-turismo-colaborativo-que-apoye-a-la-mejora-de-los-servicios-turisticos-basado-en-recomendaciones-y-experiencias-ciudadanas,Appacheta: Desarrollo De Un Turismo Colaborativo Que Apoye A La Mejora De Los Servicios Turísticos Basado En Recomendaciones Y Experiencias Ciudadanas
factus-s-a,"Factus,S.A.",democratizacion-de-la-informacion-y-sostenibilidad-de-los-medios,Democratización De La Información Y Sostenibilidad De Los Medios
el-espectador,El espectador,dona-juana,Doña Juana 20 años de la catástrofe ambiental
universidade-federal-de-santa-catarina,Universidade Federal De Santa Catarina,sistema-de-gestão-de-ideias-para-seguranca-publica,Sistema De Gestão De Ideias Para Segurança Pública
red-argentina-para-la-cooperacio-n-internacional-raci,Red Argentina Para La Cooperacio´N Internacional (Raci),comunidas-2-0,
red-argentina-para-la-cooperacio-n-internacional-raci,Red Argentina Para La Cooperacio´N Internacional (Raci),comunidas-2-0,Comunidas 2.0
openstreetmap,Openstreetmap,sin-nombre,Sin Nombre
core-systems,Core Systems,plataforma-carazo-sostenible,Plataforma Carazo Sostenible
unicef,Unicef,sinfonia-unicef,Sinfonía Unicef
seamos,Seamos,si-fuera-presidente,Si Fuera Presidente
ojo-publico,Ojopúblico,ojo-pi-blico,Ojo Pì¼Blico
ojo-publico,Ojopúblico,sala-del-poder,Sala de Poder
ojo-publico,Ojopúblico,vihsion-ciudadana-tecnologia-periodismo-y-experiencia-en-el-sector-para-monitorear-analizar-y-comparar-politicas-publicas-en-vih-en-latinoamerica,
ojo-publico,Ojopúblico,lava-jato,Lava Jato
ojo-publico,Ojopúblico,fondos-de-papel,Fondos de Papel
ojo-publico,Ojopúblico,iniciativa-funes-un-metabuscador-para-identificar-personas-de-perfil-de-riesgo-en-la-politica-del-peru,
ojo-publico,Ojopúblico,iniciativa-funes,Iniciativa Funes
ojo-publico,Ojopúblico,duenos-de-la-noticia,Dueños de las Noticias
ojo-publico,Ojopúblico,big-pharma,Big Pharma
ojo-publico,Ojopúblico,panama-papers,Los Secretos de Mossack Fonseca en Perú
fundacion-mi-sangre,Fundación Mi Sangre,az-en-construccion,
fundacion-mi-sangre,Fundación Mi Sangre,paz-en-construccion,Paz En Construcción
war-contenidos,War Contenidos,belisar-io,Belisar.Io
fundacion-juventud-emprendedora,Fundación Juventud Emprendedora,economia-local-y-megamineria,Economía Local Y Megamineria
v-smart-s-a,V-Smart S.A.,plataforma-de-participacion-y-seguridad-ciudadana,Plataforma De Participación Y Seguridad Ciudadana
fundacion-civico-social-pro-cartagena-funcicar,Fundación Cívico Social Pro Cartagena - Funcicar,mi-concejo,Mi Concejo
lojasoft-solutions,Lojasoft Solutions,genus-plataforma-de-comunicacion-academica-plus,Genus++: Plataforma De Comunicación Académica Plus
lojasoft-solutions,Lojasoft Solutions,plataforma-de-organizacion-y-comunicacion-de-agrupaciones-ciudadanas-suma-e,
lojasoft-solutions,Lojasoft Solutions,suma-e,Suma+E
kodevian-enterprise-software-solutions,Kodevian Enterprise Software Solutions,observatorio-ciudadano-de-ecosistemas-urbanos,Observatorio Ciudadano De Ecosistemas Urbanos
programa-cidades-sustentaeis,Programa Cidades Sustentaeis,plataforma-tecnoli-gica-de-monitoramento-de-indicadores-iota,Plataforma Tecnolì_Gica De Monitoramento De Indicadores (Iota)
