uid_org,uid,name
agencia-ecologista-de-informacion-tegantai,mapeo-ciudadano,Mapeo ciudadano
agencia-ecologista-de-informacion-tegantai,participación-ciudadana,Participación ciudadana
agencia-ecologista-de-informacion-tegantai,otro,Otro
agencia-ecologista-de-informacion-tegantai,periodismo-de-datos,Periodismo de datos
artigo-19-brasil,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
artigo-19-brasil,periodismo-de-datos,Periodismo de datos
cleteci-s-a,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
cleteci-s-a,mapeo-ciudadano,Mapeo ciudadano
cleteci-s-a,participación-ciudadana,Participación ciudadana
vetor-brasil,participación-ciudadana,Participación ciudadana
project-poder,compras-publicas,Compras públicas
project-poder,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
project-poder,periodismo-de-datos,Periodismo de datos
fundacion-centro-latinoamericano-de-derechos-humanos,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
fundacion-centro-latinoamericano-de-derechos-humanos,mapeo-ciudadano,Mapeo ciudadano
fundacion-centro-latinoamericano-de-derechos-humanos,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
fundacion-centro-latinoamericano-de-derechos-humanos,participación-ciudadana,Participación ciudadana
fundacion-centro-latinoamericano-de-derechos-humanos,periodismo-de-datos,Periodismo de datos
central-america-software-services,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
central-america-software-services,mapeo-ciudadano,Mapeo ciudadano
central-america-software-services,otro,Otro
instituto-del-desarrollo-de-la-juventud,mapeo-ciudadano,Mapeo ciudadano
instituto-del-desarrollo-de-la-juventud,participación-ciudadana,Participación ciudadana
instituto-del-desarrollo-de-la-juventud,otro,Otro
observatorio-de-comunicacion-pucv,mapeo-ciudadano,Mapeo ciudadano
observatorio-de-comunicacion-pucv,participación-ciudadana,Participación ciudadana
areta-valente-guimarães-mei,participación-ciudadana,Participación ciudadana
centro-para-programas-de-comunicacion-nicaragua-cpcnic,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
centro-para-programas-de-comunicacion-nicaragua-cpcnic,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
centro-para-programas-de-comunicacion-nicaragua-cpcnic,participación-ciudadana,Participación ciudadana
instituto-são-paulo-sustentavel,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
instituto-são-paulo-sustentavel,mapeo-ciudadano,Mapeo ciudadano
instituto-são-paulo-sustentavel,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
instituto-são-paulo-sustentavel,participación-ciudadana,Participación ciudadana
instituto-são-paulo-sustentavel,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
instituto-são-paulo-sustentavel,periodismo-de-datos,Periodismo de datos
impacto-norte-srl,mapeo-ciudadano,Mapeo ciudadano
impacto-norte-srl,participación-ciudadana,Participación ciudadana
impacto-norte-srl,otro,Otro
impacto-norte-srl,periodismo-de-datos,Periodismo de datos
comunideas-sas,mapeo-ciudadano,Mapeo ciudadano
comunideas-sas,participación-ciudadana,Participación ciudadana
fundacion-karisma,otro,Otro
consejo-civico-de-vecinos,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
consejo-civico-de-vecinos,participación-ciudadana,Participación ciudadana
consejo-civico-de-vecinos,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
mindball-ong-planeta,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
mindball-ong-planeta,participación-ciudadana,Participación ciudadana
mindball-ong-planeta,otro,Otro
mindball-ong-planeta,periodismo-de-datos,Periodismo de datos
instituto-ecoar-para-a-cidadania,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
instituto-ecoar-para-a-cidadania,mapeo-ciudadano,Mapeo ciudadano
instituto-ecoar-para-a-cidadania,participación-ciudadana,Participación ciudadana
voter-desenvolvimento-de-software-ltda,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
voter-desenvolvimento-de-software-ltda,mapeo-ciudadano,Mapeo ciudadano
voter-desenvolvimento-de-software-ltda,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
voter-desenvolvimento-de-software-ltda,participación-ciudadana,Participación ciudadana
voter-desenvolvimento-de-software-ltda,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
fundacion-capital-los-empleados-mencionados-hacen-referencia-a-toda-la-organizacion-regional-que-esta-conformada-por-varias-sucursales-una-de-ellas-es-mexico-y-es-en-mexico-donde-estamos-proponiendo-realizar-mopa-por-el-momento,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
fundacion-capital-los-empleados-mencionados-hacen-referencia-a-toda-la-organizacion-regional-que-esta-conformada-por-varias-sucursales-una-de-ellas-es-mexico-y-es-en-mexico-donde-estamos-proponiendo-realizar-mopa-por-el-momento,otro,Otro
associated-whistleblowing-press,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
associated-whistleblowing-press,participación-ciudadana,Participación ciudadana
associated-whistleblowing-press,periodismo-de-datos,Periodismo de datos
update,mapeo-ciudadano,Mapeo ciudadano
agencia-metropolitana-de-seguridad-laboratorio-de-politicas-publicas,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
agencia-metropolitana-de-seguridad-laboratorio-de-politicas-publicas,mapeo-ciudadano,Mapeo ciudadano
agencia-metropolitana-de-seguridad-laboratorio-de-politicas-publicas,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
agencia-metropolitana-de-seguridad-laboratorio-de-politicas-publicas,participación-ciudadana,Participación ciudadana
rede-de-observatorio-social-do-brasil,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
rede-de-observatorio-social-do-brasil,mapeo-ciudadano,Mapeo ciudadano
rede-de-observatorio-social-do-brasil,compras-publicas,Compras públicas
rede-de-observatorio-social-do-brasil,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
rede-de-observatorio-social-do-brasil,participación-ciudadana,Participación ciudadana
rede-de-observatorio-social-do-brasil,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
wheels,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
wheels,mapeo-ciudadano,Mapeo ciudadano
wheels,compras-publicas,Compras públicas
wheels,participación-ciudadana,Participación ciudadana
wheels,periodismo-de-datos,Periodismo de datos
mismatica-management-sistemas-de-gestion-mismatica-chile-limitada,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
mismatica-management-sistemas-de-gestion-mismatica-chile-limitada,mapeo-ciudadano,Mapeo ciudadano
mismatica-management-sistemas-de-gestion-mismatica-chile-limitada,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
mismatica-management-sistemas-de-gestion-mismatica-chile-limitada,participación-ciudadana,Participación ciudadana
mismatica-management-sistemas-de-gestion-mismatica-chile-limitada,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
servicios-universitarios-y-redes-de-conocimiento-en-oaxaca-a-c,mapeo-ciudadano,Mapeo ciudadano
servicios-universitarios-y-redes-de-conocimiento-en-oaxaca-a-c,participación-ciudadana,Participación ciudadana
servicios-universitarios-y-redes-de-conocimiento-en-oaxaca-a-c,periodismo-de-datos,Periodismo de datos
olmeca-soy,mapeo-ciudadano,Mapeo ciudadano
olmeca-soy,participación-ciudadana,Participación ciudadana
olmeca-soy,otro,Otro
responsible-business-alliance-rba,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
responsible-business-alliance-rba,mapeo-ciudadano,Mapeo ciudadano
responsible-business-alliance-rba,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
responsible-business-alliance-rba,participación-ciudadana,Participación ciudadana
responsible-business-alliance-rba,otro,Otro
fundacion-corona,mapeo-ciudadano,Mapeo ciudadano
fundacion-corona,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
fundacion-corona,participación-ciudadana,Participación ciudadana
fundacion-corona,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
fundacion-corona,periodismo-de-datos,Periodismo de datos
civica-digital,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
civica-digital,participación-ciudadana,Participación ciudadana
akredito,otro,Otro
techo,mapeo-ciudadano,Mapeo ciudadano
techo,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
techo,participación-ciudadana,Participación ciudadana
accion-ciudadana,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
accion-ciudadana,compras-publicas,Compras públicas
accion-ciudadana,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
accion-ciudadana,participación-ciudadana,Participación ciudadana
accion-ciudadana,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
asociacion-civil-ernesto-shneider-troller,mapeo-ciudadano,Mapeo ciudadano
asociacion-civil-ernesto-shneider-troller,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
asociacion-civil-ernesto-shneider-troller,participación-ciudadana,Participación ciudadana
asociacion-civil-ernesto-shneider-troller,otro,Otro
grupo-cidic,otro,Otro
world-resources-institute-mexico,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
world-resources-institute-mexico,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
world-resources-institute-mexico,participación-ciudadana,Participación ciudadana
fundacion-ensena-por-argentina,participación-ciudadana,Participación ciudadana
fundacion-ecomunidad,mapeo-ciudadano,Mapeo ciudadano
fundacion-ecomunidad,participación-ciudadana,Participación ciudadana
beetec-inteligencia-colectiva,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
beetec-inteligencia-colectiva,mapeo-ciudadano,Mapeo ciudadano
beetec-inteligencia-colectiva,compras-publicas,Compras públicas
beetec-inteligencia-colectiva,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
beetec-inteligencia-colectiva,participación-ciudadana,Participación ciudadana
beetec-inteligencia-colectiva,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
beetec-inteligencia-colectiva,periodismo-de-datos,Periodismo de datos
corporacion-somos-mas,mapeo-ciudadano,Mapeo ciudadano
corporacion-somos-mas,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
corporacion-somos-mas,participación-ciudadana,Participación ciudadana
transformacion-de-obreros-y-tecnicos-esperanza-de-mexico-totem-a-c,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
transformacion-de-obreros-y-tecnicos-esperanza-de-mexico-totem-a-c,mapeo-ciudadano,Mapeo ciudadano
transformacion-de-obreros-y-tecnicos-esperanza-de-mexico-totem-a-c,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
transformacion-de-obreros-y-tecnicos-esperanza-de-mexico-totem-a-c,participación-ciudadana,Participación ciudadana
transformacion-de-obreros-y-tecnicos-esperanza-de-mexico-totem-a-c,periodismo-de-datos,Periodismo de datos
jmm-tech,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
jmm-tech,mapeo-ciudadano,Mapeo ciudadano
jmm-tech,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
jmm-tech,participación-ciudadana,Participación ciudadana
jmm-tech,otro,Otro
jmm-tech,periodismo-de-datos,Periodismo de datos
brujula-turistica,mapeo-ciudadano,Mapeo ciudadano
brujula-turistica,participación-ciudadana,Participación ciudadana
factus-s-a,participación-ciudadana,Participación ciudadana
factus-s-a,otro,Otro
factus-s-a,periodismo-de-datos,Periodismo de datos
universidade-federal-de-santa-catarina,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
universidade-federal-de-santa-catarina,mapeo-ciudadano,Mapeo ciudadano
universidade-federal-de-santa-catarina,compras-publicas,Compras públicas
universidade-federal-de-santa-catarina,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
universidade-federal-de-santa-catarina,participación-ciudadana,Participación ciudadana
universidade-federal-de-santa-catarina,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
universidade-federal-de-santa-catarina,periodismo-de-datos,Periodismo de datos
red-argentina-para-la-cooperacio-n-internacional-raci,otro,Otro
core-systems,mapeo-ciudadano,Mapeo ciudadano
core-systems,otro,Otro
ojo-publico,transparencia-y-rendicion-de-cuentas,Transparencia y rendición de cuentas
ojo-publico,participación-ciudadana,Participación ciudadana
ojo-publico,otro,Otro
ojo-publico,parlamento-abierto-monitoreo-legislativo,Parlamento abierto / monitoreo legislativo
ojo-publico,periodismo-de-datos,Periodismo de datos
fundacion-mi-sangre,participación-ciudadana,Participación ciudadana
war-contenidos,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
war-contenidos,mapeo-ciudadano,Mapeo ciudadano
war-contenidos,otro,Otro
war-contenidos,periodismo-de-datos,Periodismo de datos
fundacion-juventud-emprendedora,otro,Otro
v-smart-s-a,monitoreo-de-servicios-publicos,Monitoreo de servicios públicos
v-smart-s-a,mapeo-ciudadano,Mapeo ciudadano
v-smart-s-a,compras-publicas,Compras públicas
v-smart-s-a,participación-ciudadana,Participación ciudadana
v-smart-s-a,periodismo-de-datos,Periodismo de datos
